"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","key1313",228,2,79,95,2,767,9,0.49
"GET","key1314",188,1,81,98,2,761,9,0.41
"GET","key1315",178,1,90,107,7,653,9,0.39
"GET","key1316",206,3,86,104,1,634,9,0.45
"GET","key1317",177,3,81,87,10,210,9,0.38
"GET","key1318",208,2,82,96,3,612,9,0.45
"GET","key1319",223,1,78,88,3,569,9,0.48
"GET","key132",185,1,73,87,4,667,8,0.40
"GET","key1320",197,3,82,96,1,702,9,0.43
"GET","key1321",192,2,77,95,4,638,9,0.42
"GET","key1322",194,1,75,92,3,534,9,0.42
"GET","key1323",203,3,79,96,4,699,9,0.44
"GET","key1324",204,0,87,101,2,663,9,0.44
"GET","key1325",189,0,81,96,4,709,9,0.41
"GET","key1326",207,2,85,94,1,673,9,0.45
"GET","key1327",205,1,77,88,1,325,9,0.44
"GET","key1328",179,3,72,93,0,642,9,0.39
"GET","key1329",203,0,87,98,6,769,9,0.44
"GET","key133",188,4,76,89,5,264,8,0.41
"GET","key1330",196,0,87,98,3,638,9,0.42
"GET","key1331",198,2,83,95,7,667,9,0.43
"GET","key1332",160,0,81,96,2,643,9,0.35
"GET","key1333",180,1,84,94,4,672,9,0.39
"GET","key1334",196,2,84,98,3,614,9,0.42
"GET","key1335",248,3,91,102,2,643,9,0.54
"GET","key1336",191,1,77,92,1,600,9,0.41
"GET","key1337",171,3,83,90,2,500,9,0.37
"GET","key1338",186,1,70,86,0,585,9,0.40
"GET","key1339",205,0,84,100,1,620,9,0.44
"GET","key134",201,2,80,94,8,631,8,0.44
"GET","key1340",192,0,76,89,4,768,9,0.42
"GET","key1341",185,1,84,105,1,684,9,0.40
"GET","key1342",173,3,75,96,9,639,9,0.37
"GET","key1343",196,3,83,92,4,369,9,0.42
"GET","key1344",202,0,87,96,4,545,9,0.44
"GET","key1345",197,1,90,98,0,604,9,0.43
"GET","key1346",181,3,77,96,1,650,9,0.39
"GET","key1347",196,3,89,96,0,538,9,0.42
"GET","key1348",178,3,83,94,2,626,9,0.39
"GET","key1349",182,0,76,93,2,769,9,0.39
"GET","key135",189,2,81,94,5,663,8,0.41
"GET","key1350",193,1,80,90,0,527,9,0.42
"GET","key1351",183,2,86,96,3,634,9,0.40
"GET","key1352",196,0,89,99,2,653,9,0.42
"GET","key1353",218,3,83,95,8,764,9,0.47
"GET","key1354",188,0,92,95,4,599,9,0.41
"GET","key1355",189,0,94,105,6,532,9,0.41
"GET","key1356",197,1,72,84,3,239,9,0.43
"GET","key1357",218,1,87,95,4,641,9,0.47
"GET","key1358",192,1,83,100,2,662,9,0.42
"GET","key1359",191,2,88,99,2,719,9,0.41
"GET","key136",200,1,89,100,7,659,8,0.43
"GET","key1360",188,1,79,89,0,560,9,0.41
"GET","key1361",187,1,88,97,1,629,9,0.40
"GET","key1362",209,5,88,98,1,519,9,0.45
"GET","key1363",192,0,79,96,4,633,9,0.42
"GET","key1364",199,2,89,94,0,585,9,0.43
"GET","key1365",181,3,87,103,0,606,9,0.39
"GET","key1366",194,0,85,96,0,673,9,0.42
"GET","key1367",205,2,86,97,2,573,9,0.44
"GET","key1368",182,1,78,95,4,718,9,0.39
"GET","key1369",197,2,91,96,3,490,9,0.43
"GET","key137",194,4,69,84,1,630,8,0.42
"GET","key1370",194,0,87,100,8,654,9,0.42
"GET","key1371",184,1,79,90,1,460,9,0.40
"GET","key1372",184,1,82,90,2,447,9,0.40
"GET","key1373",197,2,87,100,3,633,9,0.43
"GET","key1374",194,2,71,92,0,667,9,0.42
"GET","key1375",211,3,82,96,0,662,9,0.46
"GET","key1376",184,2,83,105,2,655,9,0.40
"GET","key1377",189,4,78,92,1,622,9,0.41
"GET","key1378",165,2,95,105,3,725,9,0.36
"GET","key1379",205,0,79,93,4,578,9,0.44
"GET","key138",210,4,80,93,11,625,8,0.45
"GET","key1380",163,0,80,89,6,648,9,0.35
"GET","key1381",190,2,81,94,0,630,9,0.41
"GET","key1382",201,0,82,93,0,703,9,0.44
"GET","key1383",183,4,85,95,6,596,9,0.40
"GET","key1384",197,1,82,102,5,745,9,0.43
"GET","key1385",189,1,70,91,3,572,9,0.41
"GET","key1386",195,4,84,91,11,217,9,0.42
"GET","key1387",170,0,82,90,3,477,9,0.37
"GET","key1388",208,3,77,95,3,611,9,0.45
"GET","key1389",184,2,73,90,0,688,9,0.40
"GET","key139",198,6,82,99,3,724,8,0.43
"GET","key1390",171,2,81,90,4,531,9,0.37
"GET","key1391",175,3,83,96,1,653,9,0.38
"GET","key1392",186,3,75,88,4,613,9,0.40
"GET","key1393",191,3,84,106,5,698,9,0.41
"GET","key1394",194,1,84,109,1,597,9,0.42
"GET","key1395",207,4,82,91,5,464,9,0.45
"GET","key1396",210,4,89,104,7,677,9,0.45
"GET","key1397",185,3,87,96,0,676,9,0.40
"GET","key1398",183,3,76,90,1,572,9,0.40
"GET","key1399",213,3,77,91,0,592,9,0.46
"GET","key14",184,1,82,93,0,556,7,0.40
"GET","key140",185,0,81,96,0,645,8,0.40
"GET","key1400",209,0,88,99,3,737,9,0.45
"GET","key1401",188,0,82,94,1,585,9,0.41
"GET","key1402",194,2,82,94,0,697,9,0.42
"GET","key1403",215,2,93,97,9,677,9,0.47
"GET","key1404",182,2,89,102,2,599,9,0.39
"GET","key1405",220,3,77,95,4,647,9,0.48
"GET","key1406",189,2,73,91,3,649,9,0.41
"GET","key1407",187,4,71,97,3,652,9,0.40
"GET","key1408",193,1,86,100,0,591,9,0.42
"GET","key1409",199,3,82,95,5,748,9,0.43
"GET","key141",200,0,80,89,3,304,8,0.43
"GET","key1410",179,1,81,94,0,530,9,0.39
"GET","key1411",215,0,79,92,5,648,9,0.47
"GET","key1412",173,0,87,99,4,627,9,0.37
"GET","key1413",182,0,80,90,6,572,9,0.39
"GET","key1414",184,5,67,87,5,521,9,0.40
"GET","key1415",202,2,78,90,1,611,9,0.44
"GET","key1416",180,5,82,90,3,244,9,0.39
"GET","key1417",187,0,85,103,2,636,9,0.40
"GET","key1418",203,1,94,108,3,652,9,0.44
"GET","key1419",202,0,76,96,3,631,9,0.44
"GET","key142",189,3,89,97,2,734,8,0.41
"GET","key1420",185,2,88,101,3,662,9,0.40
"GET","key1421",186,1,86,95,6,683,9,0.40
"GET","key1422",207,1,85,101,1,614,9,0.45
"GET","key1423",176,1,81,98,3,712,9,0.38
"GET","key1424",197,1,77,97,5,689,9,0.43
"GET","key1425",207,3,73,91,3,645,9,0.45
"GET","key1426",183,2,79,89,2,633,9,0.40
"GET","key1427",185,2,86,96,0,693,9,0.40
"GET","key1428",173,3,83,93,6,623,9,0.37
"GET","key1429",194,1,72,90,2,622,9,0.42
"GET","key143",171,2,80,91,3,574,8,0.37
"GET","key1430",208,1,78,94,0,639,9,0.45
"GET","key1431",202,2,78,102,2,689,9,0.44
"GET","key1432",200,0,82,89,5,586,9,0.43
"GET","key1433",174,2,72,82,5,668,9,0.38
"GET","key1434",195,0,81,96,0,698,9,0.42
"GET","key1435",199,1,73,95,4,612,9,0.43
"GET","key1436",194,4,84,96,0,491,9,0.42
"GET","key1437",199,4,86,100,2,641,9,0.43
"GET","key1438",201,1,87,105,5,651,9,0.44
"GET","key1439",185,1,71,89,3,513,9,0.40
"GET","key144",182,0,77,94,3,578,8,0.39
"GET","key1440",195,2,82,101,8,571,9,0.42
