"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","key1203",107,0,130,160,0,734,9,0.44
"GET","key1204",79,0,130,200,0,887,9,0.33
"GET","key1205",67,0,120,148,0,563,9,0.28
"GET","key1206",92,1,130,176,0,760,9,0.38
"GET","key1207",79,1,120,175,0,786,9,0.33
"GET","key1208",48,0,110,143,83,494,9,0.20
"GET","key1209",70,1,120,150,0,765,9,0.29
"GET","key121",75,1,120,175,0,887,8,0.31
"GET","key1210",49,0,120,150,82,500,9,0.20
"GET","key1211",50,2,120,144,88,521,9,0.21
"GET","key1212",80,1,120,173,0,517,9,0.33
"GET","key1213",51,0,110,141,0,781,9,0.21
"GET","key1214",82,0,130,183,0,796,9,0.34
"GET","key1215",59,1,120,163,0,513,9,0.24
"GET","key1216",84,6,120,159,0,529,9,0.35
"GET","key1217",66,3,120,191,82,889,9,0.27
"GET","key1218",52,5,110,122,0,473,9,0.21
"GET","key1219",80,4,120,142,0,558,9,0.33
"GET","key122",53,0,130,174,75,558,8,0.22
"GET","key1220",80,0,120,154,0,536,9,0.33
"GET","key1221",68,0,120,168,0,736,9,0.28
"GET","key1222",74,3,120,187,0,898,9,0.31
"GET","key1223",100,2,120,154,0,550,9,0.41
"GET","key1224",86,5,120,166,76,899,9,0.35
"GET","key1225",95,1,130,171,0,527,9,0.39
"GET","key1226",77,1,120,138,0,723,9,0.32
"GET","key1227",71,1,130,172,0,544,9,0.29
"GET","key1228",63,1,120,170,0,915,9,0.26
"GET","key1229",95,0,120,196,81,886,9,0.39
"GET","key123",60,1,120,163,0,757,8,0.25
"GET","key1230",82,0,120,176,80,923,9,0.34
"GET","key1231",63,2,130,190,79,502,9,0.26
"GET","key1232",73,0,120,165,0,731,9,0.30
"GET","key1233",88,0,120,151,0,496,9,0.36
"GET","key1234",72,0,130,175,0,874,9,0.30
"GET","key1235",52,2,110,142,76,542,9,0.21
"GET","key1236",69,0,120,188,0,509,9,0.28
"GET","key1237",71,2,120,166,0,551,9,0.29
"GET","key1238",69,0,120,156,0,502,9,0.28
"GET","key1239",80,0,110,153,0,499,9,0.33
"GET","key124",84,0,120,168,0,660,8,0.35
"GET","key1240",63,0,120,153,0,748,9,0.26
"GET","key1241",56,0,120,151,0,758,9,0.23
"GET","key1242",64,0,130,170,75,512,9,0.26
"GET","key1243",50,3,120,192,0,685,9,0.21
"GET","key1244",64,0,120,157,77,898,9,0.26
"GET","key1245",80,1,130,166,0,865,9,0.33
"GET","key1246",82,0,120,176,76,932,9,0.34
"GET","key1247",61,0,120,159,0,535,9,0.25
"GET","key1248",71,1,120,169,78,558,9,0.29
"GET","key1249",85,0,120,153,0,541,9,0.35
"GET","key125",73,0,120,178,0,889,8,0.30
"GET","key1250",74,3,120,168,0,531,9,0.31
"GET","key1251",64,0,120,159,79,502,9,0.26
"GET","key1252",58,0,110,132,0,498,9,0.24
"GET","key1253",94,0,120,174,0,874,9,0.39
"GET","key1254",75,2,120,149,0,537,9,0.31
"GET","key1255",72,0,120,173,0,816,9,0.30
"GET","key1256",83,1,120,160,0,575,9,0.34
"GET","key1257",66,1,120,174,0,554,9,0.27
"GET","key1258",71,3,130,167,82,807,9,0.29
"GET","key1259",48,0,110,151,0,875,9,0.20
"GET","key126",59,0,120,180,0,519,8,0.24
"GET","key1260",89,0,130,178,0,760,9,0.37
"GET","key1261",87,0,120,154,83,500,9,0.36
"GET","key1262",53,8,110,156,0,868,9,0.22
"GET","key1263",97,0,120,165,0,549,9,0.40
"GET","key1264",60,0,110,139,0,535,9,0.25
"GET","key1265",62,1,120,146,0,522,9,0.26
"GET","key1266",69,0,120,186,82,519,9,0.28
"GET","key1267",60,5,120,162,0,923,9,0.25
"GET","key1268",69,0,120,160,0,755,9,0.28
"GET","key1269",87,1,120,166,0,552,9,0.36
"GET","key127",41,0,130,187,86,726,8,0.17
"GET","key1270",45,0,120,151,0,542,9,0.19
"GET","key1271",58,0,120,141,83,468,9,0.24
"GET","key1272",66,0,120,155,0,761,9,0.27
"GET","key1273",69,0,120,151,0,906,9,0.28
"GET","key1274",72,3,120,161,0,766,9,0.30
"GET","key1275",68,3,120,145,81,538,9,0.28
"GET","key1276",74,4,120,156,0,888,9,0.31
"GET","key1277",95,1,120,159,0,743,9,0.39
"GET","key1278",53,0,120,159,0,525,9,0.22
"GET","key1279",118,0,120,170,0,730,9,0.49
"GET","key128",65,0,120,154,0,886,8,0.27
"GET","key1280",85,4,120,181,0,545,9,0.35
"GET","key1281",51,2,110,136,0,514,9,0.21
"GET","key1282",59,0,120,156,78,557,9,0.24
"GET","key1283",67,1,120,188,0,864,9,0.28
"GET","key1284",90,0,120,152,83,526,9,0.37
"GET","key1285",72,0,120,139,0,517,9,0.30
"GET","key1286",70,0,120,172,0,571,9,0.29
"GET","key1287",72,2,120,169,0,565,9,0.30
"GET","key1288",71,0,120,161,82,541,9,0.29
"GET","key1289",58,3,110,137,82,527,9,0.24
"GET","key129",80,6,130,177,77,734,8,0.33
"GET","key1290",72,0,130,191,0,535,9,0.30
"GET","key1291",77,2,120,156,82,796,9,0.32
"GET","key1292",41,2,120,170,82,892,9,0.17
"GET","key1293",101,1,130,168,0,582,9,0.42
"GET","key1294",102,4,120,161,0,741,9,0.42
"GET","key1295",71,0,120,173,0,770,9,0.29
"GET","key1296",63,0,120,168,80,543,9,0.26
"GET","key1297",57,2,110,147,0,544,9,0.23
"GET","key1298",72,1,120,172,0,518,9,0.30
"GET","key1299",105,4,120,152,83,554,9,0.43
"GET","key13",76,1,120,162,0,856,7,0.31
"GET","key130",82,0,120,143,0,534,8,0.34
"GET","key1300",75,0,120,165,80,536,9,0.31
"GET","key1301",65,1,120,190,0,897,9,0.27
"GET","key1302",58,4,110,160,0,574,9,0.24
"GET","key1303",84,2,120,169,0,736,9,0.35
"GET","key1304",62,1,120,148,75,892,9,0.26
"GET","key1305",60,3,120,157,0,506,9,0.25
"GET","key1306",97,0,120,169,0,900,9,0.40
"GET","key1307",74,1,120,175,84,913,9,0.31
"GET","key1308",54,3,120,137,0,520,9,0.22
"GET","key1309",71,0,130,192,0,766,9,0.29
"GET","key131",85,1,130,185,0,914,8,0.35
"GET","key1310",80,3,120,149,77,553,9,0.33
"GET","key1311",70,0,130,195,80,752,9,0.29
"GET","key1312",79,2,120,169,0,512,9,0.33
"GET","key1313",81,0,120,156,0,754,9,0.33
"GET","key1314",69,0,120,149,0,530,9,0.28
"GET","key1315",75,0,120,151,82,705,9,0.31
"GET","key1316",90,0,120,163,77,889,9,0.37
"GET","key1317",56,0,120,160,79,767,9,0.23
"GET","key1318",50,0,120,153,0,472,9,0.21
"GET","key1319",50,0,110,144,0,540,9,0.21
"GET","key132",45,0,120,155,87,532,8,0.19
"GET","key1320",46,0,110,154,0,857,9,0.19
"GET","key1321",56,0,120,184,0,555,9,0.23
"GET","key1322",72,0,120,162,0,530,9,0.30
"GET","key1323",60,3,120,155,83,525,9,0.25
"GET","key1324",80,2,120,170,0,576,9,0.33
"GET","key1325",67,1,120,153,0,522,9,0.28
"GET","key1326",65,0,120,160,0,547,9,0.27
"GET","key1327",101,0,120,160,0,706,9,0.42
"GET","key1328",43,2,120,156,78,516,9,0.18
"GET","key1329",66,0,110,151,0,555,9,0.27
"GET","key133",82,0,130,171,0,542,8,0.34
"GET","key1330",85,0,120,154,0,796,9,0.35
"GET","key1331",53,4,110,138,78,449,9,0.22
"GET","key1332",42,0,120,176,89,910,9,0.17
"GET","key1333",105,0,120,180,0,557,9,0.43
"GET","key1334",36,1,120,155,82,525,9,0.15
"GET","key1335",87,0,120,164,0,773,9,0.36
"GET","key1336",72,1,120,160,0,738,9,0.30
"GET","key1337",79,3,120,160,81,718,9,0.33
"GET","key1338",101,1,120,176,0,536,9,0.42
"GET","key1339",52,0,110,176,83,722,9,0.21
"GET","key134",52,2,120,161,0,695,8,0.21
"GET","key1340",62,9,110,166,0,718,9,0.26
"GET","key1341",61,0,120,160,84,542,9,0.25
"GET","key1342",63,5,120,166,0,756,9,0.26
"GET","key1343",67,0,120,135,0,680,9,0.28
"GET","key1344",77,3,120,143,0,537,9,0.32
"GET","key1345",68,0,120,157,0,765,9,0.28
"GET","key1346",77,1,120,156,0,567,9,0.32
"GET","key1347",95,0,120,162,0,900,9,0.39
"GET","key1348",81,0,120,164,0,871,9,0.33
"GET","key1349",73,0,120,143,0,792,9,0.30
"GET","key135",96,2,120,173,0,561,8,0.40
"GET","key1350",98,1,130,164,0,761,9,0.40
"GET","key1351",84,0,120,148,0,518,9,0.35
"GET","key1352",63,0,120,162,0,768,9,0.26
"GET","key1353",60,1,130,172,0,503,9,0.25
"GET","key1354",79,0,130,186,0,894,9,0.33
"GET","key1355",70,0,110,167,0,558,9,0.29
"GET","key1356",90,0,130,153,0,539,9,0.37
"GET","key1357",77,0,130,172,76,530,9,0.32
"GET","key1358",73,0,120,170,0,881,9,0.30
"GET","key1359",62,1,120,146,82,888,9,0.26
"GET","key136",89,0,120,160,0,759,8,0.37
"GET","key1360",69,3,120,155,0,494,9,0.28
"GET","key1361",73,0,110,158,0,909,9,0.30
"GET","key1362",81,0,120,156,0,517,9,0.33
"GET","key1363",78,0,120,184,0,866,9,0.32
"GET","key1364",78,0,120,149,0,531,9,0.32
"GET","key1365",90,0,120,167,0,855,9,0.37
"GET","key1366",92,0,120,156,83,895,9,0.38
"GET","key1367",76,0,120,179,82,892,9,0.31
"GET","key1368",77,0,110,135,0,533,9,0.32
"GET","key1369",75,0,130,172,0,752,9,0.31
"GET","key137",73,0,130,152,0,553,8,0.30
"GET","key1370",79,0,130,171,81,561,9,0.33
"GET","key1371",76,0,130,159,0,518,9,0.31
"GET","key1372",54,0,120,188,81,900,9,0.22
"GET","key1373",62,0,110,179,0,896,9,0.26
"GET","key1374",81,0,120,157,0,795,9,0.33
"GET","key1375",85,0,120,144,0,515,9,0.35
"GET","key1376",97,0,120,151,0,508,9,0.40
"GET","key1377",90,0,120,159,0,533,9,0.37
"GET","key1378",60,1,120,186,76,557,9,0.25
"GET","key1379",110,1,120,169,0,908,9,0.45
"GET","key138",52,0,110,151,0,527,8,0.21
"GET","key1380",76,0,120,130,81,535,9,0.31
"GET","key1381",77,0,110,150,0,897,9,0.32
"GET","key1382",110,3,110,157,0,827,9,0.45
"GET","key1383",61,1,120,160,83,537,9,0.25
"GET","key1384",55,0,120,161,0,558,9,0.23
"GET","key1385",73,0,120,162,0,895,9,0.30
"GET","key1386",96,5,130,169,0,880,9,0.40
"GET","key1387",57,2,120,194,84,851,9,0.23
"GET","key1388",77,0,120,160,0,758,9,0.32
"GET","key1389",61,1,120,156,0,524,9,0.25
"GET","key139",66,0,120,164,0,812,8,0.27
"GET","key1390",51,0,120,158,82,546,9,0.21
"GET","key1391",109,7,120,176,81,552,9,0.45
"GET","key1392",54,0,120,154,80,453,9,0.22
"GET","key1393",55,0,110,126,0,516,9,0.23
"GET","key1394",63,0,120,134,0,559,9,0.26
"GET","key1395",63,1,120,180,82,717,9,0.26
